anno,latitudine,longitudin,public_pos,geoprivacy,coordinate
06/06/2019,42.011213393600002,12.139833569500000,"4208",,"0"
09/06/2019,43.308344609999999,13.733359490000000,"9",,"0"
12/06/2019,40.757085400000001,13.873498800000000,"206",,"0"
12/06/2019,45.196388244600001,10.749444007899999,,,"0"
19/06/2019,44.486627449499998,11.292209673400000,"5",,"0"
20/06/2019,46.050863999999997,10.949221000000000,"494",,"0"
22/06/2019,40.476433595499998,15.111551508300000,"4208",,"0"
24/06/2019,45.050465565300001,7.705190314300000,"27222",obscured,"1"
24/06/2019,44.513284741800000,8.446434480800002,"27317",obscured,"1"
20/06/2019,43.554401332799998,11.579663604500000,"33",,"0"
26/06/2019,42.786839341200000,10.326723361100001,"24",,"0"
27/06/2019,42.783015624900003,10.337778327400001,"8",,"0"
27/06/2019,43.097870523899999,10.538573140200000,"19",,"0"
01/07/2019,42.248101800000001,12.068098900000001,"18",,"0"
27/06/2019,43.452094768499997,13.483372516899999,"526",,"0"
07/07/2019,45.056029269500002,10.263943570800000,"27222",obscured,"1"
08/07/2019,43.717598622200001,11.395677141800000,"132",,"0"
05/07/2019,39.877780000000001,9.533911666700000,"8",,"0"
14/06/2019,46.107379778000002,11.110261683899999,"15",,"0"
13/07/2019,45.475017601099999,11.774166191999999,"22905",,"0"
13/07/2019,45.200620899999997,10.745666699999999,"169",,"0"
07/07/2019,42.046753864499998,14.188973632600000,"4",,"0"
31/07/2019,45.200620899999997,10.745666699999999,"960",,"0"
03/08/2019,45.200620899999997,10.745666699999999,"1199",,"0"
09/08/2019,40.823775711499998,8.422180311800000,"9",,"0"
19/08/2019,38.779853820800000,16.509923934900002,,,"0"
12/06/2019,43.775624418200003,11.218925267500000,"17",,"0"
08/09/2019,44.805963472999998,10.317036443199999,,,"0"
15/01/2020,44.794444003800002,10.741834411499999,"2478",,"0"
05/06/2018,43.531387329099999,10.314444541900000,,,"0"
16/06/2018,46.366553333299997,11.319721666700000,,,"0"
02/06/2017,42.776810415000000,10.391416616900001,"1953",,"0"
04/08/2011,43.769559999999998,11.255814000000001,"9447",,"0"
14/06/2018,43.717799163199999,10.294128792200000,"1567",,"0"
20/07/2019,39.835556030299998,9.337656974800000,,,"0"
01/05/2020,43.807578711900000,11.240917704999999,"72",,"0"
14/04/2020,40.840169000000003,14.158728000000000,,,"0"
16/07/2018,41.716748718600002,14.824566074700000,"144",,"0"
